DATE,y
28/05/2017,50500
04/06/2017,66110
11/06/2017,60830
18/06/2017,61040
25/06/2017,62400
02/07/2017,46860
09/07/2017,61410
16/07/2017,61210
23/07/2017,60830
30/07/2017,59830
06/08/2017,59980
13/08/2017,63040
20/08/2017,58910
27/08/2017,59730
03/09/2017,47010
10/09/2017,56480
17/09/2017,60500
24/09/2017,59930
01/10/2017,54810
8/10/2017,53950
15/10/2017,60830
22/10/2017,62650
29/10/2017,59870
5/11/2017,60820
12/11/2017,56260
19/11/2017,44740
26/11/2017,54500
03/12/2017,61760
10/12/2017,60900
17/12/2017,59570
24/12/2017,11400
31/12/2017,77490
07/01/2018,79530
14/01/2018,68510
21/01/2018,79720
28/01/2018,81430
04/02/2018,78100
11/02/2018,74600
18/02/2018,71930
25/02/2018,79890
04/03/2018,78630
11/03/2018,81010
18/03/2018,78130
25/03/2018,77600
01/04/2018,72820
08/04/2018,73960
15/04/2018,70480
22/04/2018,75560
29/04/2018,74680
06/05/2018,72530
13/05/2018,74650
20/05/2018,70090
27/05/2018,57610
03/06/2018,69600
10/06/2018,69500
17/06/2018,69160
24/06/2018,68800
01/07/2018,53280
08/07/2018,66170
15/07/2018,62860
22/07/2018,67750
29/07/2018,68360
05/08/2018,66320
12/08/2018,67260
19/08/2018,65790
26/08/2018,63200
02/09/2018,56000
09/09/2018,64330
16/09/2018,64500
23/09/2018,64890
30/09/2018,61890
7/10/2018,55990
14/10/2018,59800
21/10/2018,65510
28/10/2018,62710
4/11/2018,56890
11/11/2018,57000
18/11/2018,49460
25/11/2018,58370
02/12/2018,56710
9/12/2018,63270
16/12/2018,64320
23/12/2018,30310
30/12/2018,48390
06/01/2019,81050
13/01/2019,75110
20/01/2019,70660
27/01/2019,80640
03/02/2019,80810
10/02/2019,83210
17/02/2019,73750
24/02/2019,82520
03/03/2019,77500
10/03/2019,80880
17/03/2019,85440
24/03/2019,84950
31/03/2019,83780
07/04/2019,75470
14/04/2019,71250
21/04/2019,70050
28/04/2019,75280
05/05/2019,71560
12/05/2019,71900
19/05/2019,69980
26/05/2019,55900
02/06/2019,69720
09/06/2019,66630
16/06/2019,67170
23/06/2019,67530
30/06/2019,49980
07/07/2019,63030
14/07/2019,64510
21/07/2019,63520
28/07/2019,64240
04/08/2019,65330
11/08/2019,66360
18/08/2019,67740
25/08/2019,63090
01/09/2019,52580
08/09/2019,64230
15/09/2019,67460
22/09/2019,66310
29/09/2019,65400
6/10/2019,63300
13/10/2019,57090
20/10/2019,66430
27/10/2019,64160
03/11/2019,62130
10/11/2019,57070
17/11/2019,63430
24/11/2019,46840
01/12/2019,55060
8/12/2019,62950
15/12/2019,64920
22/12/2019,42310
29/12/2019,31010
05/01/2020,91470
12/01/2020,79560
19/01/2020,75620
26/01/2020,85410
02/02/2020,83800
09/02/2020,82020
16/02/2020,75700
23/02/2020,82450
01/03/2020,84700
08/03/2020,79230
15/03/2020,65330
22/03/2020,53980
29/03/2020,55670
05/04/2020,59320
12/04/2020,56980
19/04/2020,62880
26/04/2020,67840
03/05/2020,69880
10/05/2020,72790
17/05/2020,75800
24/05/2020,67750
31/05/2020,74730
07/06/2020,83180
14/06/2020,88620
21/06/2020,103680
28/06/2020,113930
05/07/2020,113020
12/07/2020,123680
19/07/2020,117240
26/07/2020,117930
02/08/2020,114550
09/08/2020,112380
16/08/2020,104320
23/08/2020,102050
30/08/2020,101940
06/09/2020,79840
13/09/2020,97760
20/09/2020,95510
27/09/2020,91560
4/10/2020,87820
11/10/2020,82100
18/10/2020,91460
