ds,Temperature
6-2003,27.552103
7-2003,27.318563
8-2003,27.192333
9-2003,26.546574
10-2003,26.379166
11-2003,25.449705
12-2003,22.679491
1-2004,23.763168
2-2004,24.40303
3-2004,27.975044
4-2004,29.207363
5-2004,27.878153
6-2004,27.244976
7-2004,26.971903
8-2004,27.079264
9-2004,26.594835
10-2004,26.04575
11-2004,25.48298
12-2004,22.591143
1-2005,23.721365
2-2005,26.92402
3-2005,27.242977
4-2005,28.86328
5-2005,28.746178
6-2005,27.858267
7-2005,27.32798
8-2005,26.994755
9-2005,26.696102
10-2005,26.440016
11-2005,25.359434
12-2005,23.031761
1-2006,23.734343
2-2006,25.920862
3-2006,27.8672
4-2006,28.242104
5-2006,27.330387
6-2006,27.821339
7-2006,27.140097
8-2006,26.843954
9-2006,26.768467
10-2006,26.460596
11-2006,26.002316
12-2006,23.406948
1-2007,23.371536
2-2007,25.438517
3-2007,28.021175
4-2007,28.630674
5-2007,27.388731
6-2007,28.168802
7-2007,27.396698
8-2007,27.09697
9-2007,26.893661
10-2007,25.86118
11-2007,23.744835
12-2007,24.316856
1-2008,23.68176
2-2008,24.035463
3-2008,26.939846
4-2008,28.200237
5-2008,27.052465
6-2008,27.252337
7-2008,26.921453
8-2008,26.879646
9-2008,26.546997
10-2008,26.526323
11-2008,24.217617
12-2008,22.207798
1-2009,21.75106
2-2009,26.180696
3-2009,27.110533
4-2009,28.338203
5-2009,27.558825
6-2009,27.443312
7-2009,26.995396
8-2009,27.300436
9-2009,26.96466
10-2009,26.686903
11-2009,24.767687
12-2009,23.835333
1-2010,24.588757
2-2010,26.51387
3-2010,27.869081
4-2010,29.982811
5-2010,29.720642
6-2010,28.623411
7-2010,27.646582
8-2010,26.763475
9-2010,26.955376
10-2010,25.932554
11-2010,24.691273
12-2010,23.841063
1-2011,22.607088
2-2011,25.212439
3-2011,24.850067
4-2011,27.392551
5-2011,27.509314
6-2011,27.364697
7-2011,27.009062
8-2011,26.657368
9-2011,26.485558
10-2011,25.955906
11-2011,25.151598
12-2011,22.691751
1-2012,24.145935
2-2012,25.865301
3-2012,27.25508
4-2012,28.403057
5-2012,27.910868
6-2012,27.4875
7-2012,26.901857
8-2012,26.792381
9-2012,26.702118
10-2012,26.6884
11-2012,26.552248
12-2012,25.066593
1-2013,23.87191
2-2013,26.513283
3-2013,27.808157
4-2013,29.191664
5-2013,28.670433
6-2013,27.611498
7-2013,26.86482
8-2013,26.80274
9-2013,26.491217
10-2013,25.89502
11-2013,25.551386
12-2013,21.072104
1-2014,21.54263
2-2014,25.0021
3-2014,27.846632
4-2014,28.704742
5-2014,28.818724
6-2014,28.049532
7-2014,27.33803
8-2014,26.912008
9-2014,26.940302
10-2014,26.354185
11-2014,25.817015
12-2014,23.531738
1-2015,22.502449
2-2015,24.877335
3-2015,27.89082
4-2015,28.564796
5-2015,29.266117
6-2015,28.58076
7-2015,27.575891
8-2015,27.35139
9-2015,27.214584
10-2015,26.47186
11-2015,26.493763
12-2015,24.869473
1-2016,23.844397
2-2016,24.232763
3-2016,28.317667
4-2016,30.92374
5-2016,29.66308
6-2016,27.935
7-2016,27.201855
8-2016,27.387808
9-2016,26.943018
10-2016,26.856216
11-2016,25.957108
12-2016,24.13622
1-2017,24.502752
2-2017,24.966042
3-2017,27.542448
4-2017,28.346296
5-2017,27.99617
6-2017,27.797382
7-2017,26.862661
8-2017,27.316507
9-2017,27.396856
10-2017,26.492683
11-2017,25.506483
12-2017,23.283691
1-2018,24.165874
2-2018,24.637083
3-2018,26.943716
4-2018,27.638165
5-2018,27.730753
6-2018,27.538513
7-2018,27.062237
8-2018,26.761166
9-2018,27.119501
10-2018,26.833403
11-2018,25.876057
12-2018,25.100536
1-2019,24.577463
2-2019,26.776968
3-2019,28.325012
4-2019,30.087402
5-2019,29.158476
6-2019,28.507763
7-2019,27.885603
8-2019,27.008606
9-2019,26.907274
10-2019,27.061697
11-2019,25.56162
12-2019,23.338413
1-2020,25.1274
2-2020,25.84549
3-2020,28.623789
4-2020,29.117582
5-2020,29.746164
6-2020,28.241161
7-2020,28.09501
8-2020,27.244192
9-2020,27.385777
10-2020,25.57121
11-2020,25.557457
12-2020,23.504744
1-2021,22.616325
2-2021,25.10962
3-2021,28.175879
4-2021,27.726799
5-2021,28.775192
6-2021,28.08421
7-2021,27.49448
8-2021,27.561005
9-2021,26.667725
